Product ID,Товар,Закупочная цена,Цена продажи,Остаток
223,замок навесной 40мм,350.0,600.0,7
224,Бур по бетону 10*160,420.0,700.0,5
225,кисть 63мм,160.0,300.0,5
226,лезвие,190.0,450.0,3
227,шпатель кафельге 300мм,700.0,1300.0,1
228,подбивочный блок для ламината,3100.0,3500.0,3
229,алмазное сверло по стеклу 8мм,240.0,600.0,5
230,ключи имбусовые,1200.0,1800.0,2
231,отрезной диск по бетону 125мм,950.0,1500.0,10
232,кисть 25мм,240.0,500.0,10
233,миксер улкен,1700.0,2200.0,3
234,Бур по бетону 6*350,800.0,1200.0,5
235,Сверло 6мм,450.0,850.0,5
236,Бур по бетону 16*160,390.0,700.0,4
237,скребок,1100.0,1700.0,2
238,разводной ключ,1350.0,1800.0,1
239,шпатель 250мм,560.0,900.0,4
240,плоскогубцы 8,600.0,1100.0,4
241,пильный диск по дереву 180мм,3200.0,3900.0,1
242,Бур по бетону 10*260,800.0,1200.0,3
243,шпатель кафельге 450мм,950.0,1800.0,2
244,коронка по кафелю 65мм,2400.0,3000.0,3
